measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Europe & Central Asia - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.016470663,0.017578762,0.015246249
Deaths,Europe & Central Asia - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.047914723,0.049895492,0.045030484
Deaths,Europe & Central Asia - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.024797682,0.026168601,0.022772589
Deaths,Europe & Central Asia - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.055462396,0.057783374,0.052162896
Deaths,Europe & Central Asia - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.029138045,0.030736095,0.026752431
Deaths,Europe & Central Asia - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.05063116,0.052779905,0.04730749
Deaths,Europe & Central Asia - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.02743581,0.028794983,0.025692704
Deaths,Europe & Central Asia - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.037975959,0.039671685,0.035714398
Deaths,Europe & Central Asia - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.02235035,0.023559131,0.020769174
Deaths,Europe & Central Asia - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.029490438,0.03063785,0.028112078
Deaths,Europe & Central Asia - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.018729574,0.019581526,0.01765428
Deaths,Europe & Central Asia - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.017588086,0.018221214,0.016731514
Deaths,Europe & Central Asia - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.011872099,0.012387403,0.011258263
Deaths,Europe & Central Asia - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.009505303,0.009823589,0.009112171
Deaths,Europe & Central Asia - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.006145099,0.006388946,0.00586462
Deaths,Europe & Central Asia - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.004559243,0.004744181,0.004371026
Deaths,Europe & Central Asia - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.002727781,0.002845862,0.002611755
Deaths,Europe & Central Asia - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.02164774,0.023023302,0.02036371
Deaths,Europe & Central Asia - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.012028885,0.012752294,0.011321665
Deaths,Europe & Central Asia - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.015516428,0.016493907,0.014651601
Deaths,Europe & Central Asia - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.008150972,0.008591376,0.007698588
Deaths,Europe & Central Asia - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.009046231,0.00980973,0.008466568
Deaths,Europe & Central Asia - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.005197743,0.00547484,0.004897941
Deaths,Europe & Central Asia - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.005109271,0.005690877,0.00466796
Deaths,Europe & Central Asia - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.003277637,0.003489166,0.003058746
Deaths,Europe & Central Asia - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.002965209,0.003416143,0.002642961
Deaths,Europe & Central Asia - WB,Female,45 to 49,Opioid use disorders,Percent,1990,0.002215678,0.002379867,0.002053236
Deaths,Europe & Central Asia - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.002181825,0.002546344,0.001938107
Deaths,Europe & Central Asia - WB,Female,50 to 54,Opioid use disorders,Percent,1990,0.001928827,0.002067341,0.001771267
Deaths,Europe & Central Asia - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.001198696,0.001403208,0.001060989
Deaths,Europe & Central Asia - WB,Female,55 to 59,Opioid use disorders,Percent,1990,0.00116811,0.001254552,0.001073826
Deaths,Europe & Central Asia - WB,Male,60 to 64,Opioid use disorders,Percent,1990,0.00070516,0.000791538,0.000636459
Deaths,Europe & Central Asia - WB,Female,60 to 64,Opioid use disorders,Percent,1990,0.000723323,0.000769149,0.000664223
Deaths,Europe & Central Asia - WB,Male,65 to 69,Opioid use disorders,Percent,1990,0.000333156,0.000362642,0.000309114
Deaths,Europe & Central Asia - WB,Female,65 to 69,Opioid use disorders,Percent,1990,0.000407612,0.000428704,0.000377784
Deaths,Latin America & Caribbean - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.014007727,0.014789615,0.012978042
Deaths,Latin America & Caribbean - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.00297889,0.003232829,0.002758096
Deaths,Latin America & Caribbean - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.024423191,0.025691196,0.022811856
Deaths,Latin America & Caribbean - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.005009277,0.005380099,0.004671132
Deaths,Latin America & Caribbean - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.031505773,0.033039632,0.02963263
Deaths,Latin America & Caribbean - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.00603912,0.006449285,0.005680906
Deaths,Latin America & Caribbean - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.032461682,0.033998314,0.030532293
Deaths,Latin America & Caribbean - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.005878103,0.006249818,0.005523532
Deaths,Latin America & Caribbean - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.029595611,0.031093947,0.028023711
Deaths,Latin America & Caribbean - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.005086041,0.005398123,0.004779334
Deaths,Latin America & Caribbean - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.022861297,0.02402705,0.0211867
Deaths,Latin America & Caribbean - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.003304025,0.00352646,0.003091955
Deaths,Latin America & Caribbean - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.01717887,0.017997001,0.01598244
Deaths,Latin America & Caribbean - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.002301596,0.002473333,0.002158299
Deaths,Latin America & Caribbean - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.010906631,0.011416178,0.010062863
Deaths,Latin America & Caribbean - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.001494087,0.001594638,0.00139599
Deaths,Latin America & Caribbean - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.007563435,0.007928724,0.007040971
Deaths,Latin America & Caribbean - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.000999388,0.001079773,0.000927451
Deaths,Latin America & Caribbean - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.000392329,0.00043372,0.000353636
Deaths,Latin America & Caribbean - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.000357414,0.000405701,0.000318813
Deaths,Latin America & Caribbean - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.000531035,0.000582294,0.000481131
Deaths,Latin America & Caribbean - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.000299992,0.000334698,0.00027166
Deaths,Latin America & Caribbean - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.000473497,0.000521727,0.000430594
Deaths,Latin America & Caribbean - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.000208533,0.000235382,0.000187276
Deaths,Latin America & Caribbean - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.000390175,0.000434721,0.000351089
Deaths,Latin America & Caribbean - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.00015798,0.000175267,0.000142954
Deaths,Latin America & Caribbean - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.000240423,0.000274058,0.000212853
Deaths,Latin America & Caribbean - WB,Female,45 to 49,Opioid use disorders,Percent,1990,9.49E-05,0.00010606,8.50E-05
Deaths,Latin America & Caribbean - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.000179794,0.000202911,0.000160537
Deaths,Latin America & Caribbean - WB,Female,50 to 54,Opioid use disorders,Percent,1990,9.60E-05,0.000104883,8.78E-05
Deaths,Latin America & Caribbean - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.000118063,0.000136115,0.000103481
Deaths,Latin America & Caribbean - WB,Female,55 to 59,Opioid use disorders,Percent,1990,7.68E-05,8.62E-05,6.93E-05
Deaths,Latin America & Caribbean - WB,Male,60 to 64,Opioid use disorders,Percent,1990,9.18E-05,0.000105618,7.97E-05
Deaths,Latin America & Caribbean - WB,Female,60 to 64,Opioid use disorders,Percent,1990,5.64E-05,6.21E-05,5.14E-05
Deaths,Latin America & Caribbean - WB,Male,65 to 69,Opioid use disorders,Percent,1990,6.77E-05,7.84E-05,5.91E-05
Deaths,Latin America & Caribbean - WB,Female,65 to 69,Opioid use disorders,Percent,1990,5.49E-05,5.97E-05,5.04E-05
Deaths,Sub-Saharan Africa - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.001605875,0.001966572,0.001221333
Deaths,Sub-Saharan Africa - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.000476063,0.000583859,0.000380586
Deaths,Sub-Saharan Africa - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.002163758,0.002634865,0.0016575
Deaths,Sub-Saharan Africa - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.000762554,0.000913957,0.000620477
Deaths,Sub-Saharan Africa - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.002202314,0.00264941,0.001643921
Deaths,Sub-Saharan Africa - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.001107486,0.001325897,0.000922982
Deaths,Sub-Saharan Africa - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.003387974,0.004037416,0.002482802
Deaths,Sub-Saharan Africa - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.000976778,0.001152794,0.000818715
Deaths,Sub-Saharan Africa - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.004760928,0.00570453,0.003754182
Deaths,Sub-Saharan Africa - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.001014218,0.001195385,0.000855816
Deaths,Sub-Saharan Africa - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.003876663,0.004521722,0.002964749
Deaths,Sub-Saharan Africa - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.000840473,0.000985764,0.00070586
Deaths,Sub-Saharan Africa - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.004197444,0.004862345,0.003188902
Deaths,Sub-Saharan Africa - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.000376851,0.000444644,0.000317633
Deaths,Sub-Saharan Africa - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.003111812,0.003668307,0.002371133
Deaths,Sub-Saharan Africa - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.000333702,0.000390396,0.00028329
Deaths,Sub-Saharan Africa - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.000766889,0.000868331,0.000611398
Deaths,Sub-Saharan Africa - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.000648931,0.00075237,0.000543419
Deaths,Sub-Saharan Africa - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.0006703,0.000862256,0.000488369
Deaths,Sub-Saharan Africa - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.000149522,0.000218862,0.000104976
Deaths,Sub-Saharan Africa - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.000874285,0.001098884,0.000640504
Deaths,Sub-Saharan Africa - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.000264359,0.000362606,0.000198044
Deaths,Sub-Saharan Africa - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.000904708,0.001146349,0.000684446
Deaths,Sub-Saharan Africa - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.000222032,0.000303817,0.000166624
Deaths,Sub-Saharan Africa - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.000701347,0.000864272,0.000549413
Deaths,Sub-Saharan Africa - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.000141623,0.000182772,0.000111297
Deaths,Sub-Saharan Africa - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.000301479,0.00037006,0.000234638
Deaths,Sub-Saharan Africa - WB,Female,45 to 49,Opioid use disorders,Percent,1990,8.88E-05,0.000139936,6.19E-05
Deaths,Sub-Saharan Africa - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.000180983,0.000218239,0.00014242
Deaths,Sub-Saharan Africa - WB,Female,50 to 54,Opioid use disorders,Percent,1990,0.000116322,0.000144045,9.46E-05
Deaths,Sub-Saharan Africa - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.000166799,0.000208473,0.000129728
Deaths,Sub-Saharan Africa - WB,Female,55 to 59,Opioid use disorders,Percent,1990,4.35E-05,5.87E-05,3.25E-05
Deaths,Sub-Saharan Africa - WB,Male,60 to 64,Opioid use disorders,Percent,1990,0.000213153,0.000265902,0.000169343
Deaths,Sub-Saharan Africa - WB,Female,60 to 64,Opioid use disorders,Percent,1990,2.70E-05,3.70E-05,1.91E-05
Deaths,Sub-Saharan Africa - WB,Male,65 to 69,Opioid use disorders,Percent,1990,0.000206007,0.000263418,0.000159241
Deaths,Sub-Saharan Africa - WB,Female,65 to 69,Opioid use disorders,Percent,1990,2.75E-05,3.68E-05,1.96E-05
Deaths,South Asia - WB,Male,25 to 29,Alcohol use disorders,Percent,1991,0.006006423,0.006986974,0.003923286
Deaths,South Asia - WB,Female,25 to 29,Alcohol use disorders,Percent,1991,0.00027559,0.000312652,0.000241282
Deaths,South Asia - WB,Male,30 to 34,Alcohol use disorders,Percent,1991,0.010755209,0.012551139,0.007249838
Deaths,South Asia - WB,Female,30 to 34,Alcohol use disorders,Percent,1991,0.000448686,0.000525034,0.000383836
Deaths,South Asia - WB,Male,35 to 39,Alcohol use disorders,Percent,1991,0.010369219,0.012085655,0.007075374
Deaths,South Asia - WB,Female,35 to 39,Alcohol use disorders,Percent,1991,0.000978717,0.001150433,0.000830457
Deaths,South Asia - WB,Male,40 to 44,Alcohol use disorders,Percent,1991,0.009014522,0.010451105,0.006027983
Deaths,South Asia - WB,Female,40 to 44,Alcohol use disorders,Percent,1991,0.00078665,0.000935108,0.000666451
Deaths,South Asia - WB,Male,45 to 49,Alcohol use disorders,Percent,1991,0.009017193,0.010958376,0.005992605
Deaths,South Asia - WB,Female,45 to 49,Alcohol use disorders,Percent,1991,0.000781695,0.000916469,0.000666127
Deaths,South Asia - WB,Male,50 to 54,Alcohol use disorders,Percent,1991,0.005325546,0.006336898,0.003428539
Deaths,South Asia - WB,Female,50 to 54,Alcohol use disorders,Percent,1991,0.000928977,0.00112424,0.000765064
Deaths,South Asia - WB,Male,55 to 59,Alcohol use disorders,Percent,1991,0.004598915,0.005596745,0.002905152
Deaths,South Asia - WB,Female,55 to 59,Alcohol use disorders,Percent,1991,0.000331032,0.000394169,0.000275567
Deaths,South Asia - WB,Male,60 to 64,Alcohol use disorders,Percent,1991,0.002757719,0.003368191,0.001748452
